area,bedrooms,bathrooms,location,year_built,price
4299,1.0,3.0,Greenville,1990,1020730.7008966438
4192,2.0,3.0,Riverside,1958,931127.6004891255
4820,1.0,2.0,Greenville,1970,1039739.3137593638
1063,3.0,3.0,Greenville,1955,543175.7067916606
4479,5.0,2.0,Hill Valley,1960,971304.8651628569
892,3.0,2.0,Shelbyville,1985,366138.19474685873
2691,4.0,2.0,Shelbyville,2013,635362.4848282619
3215,3.0,2.0,Riverside,2008,786610.0557340193
2174,1.0,1.0,Riverside,1961,562178.7523561937
1243,1.0,3.0,Hill Valley,1957,464536.5159359077
1446,2.0,2.0,Springfield,1978,434801.4160146566
4228,2.0,3.0,Greenville,2000,1021168.1155378993
2002,5.0,2.0,Greenville,2006,693690.7017620594
1965,5.0,3.0,Springfield,2011,568303.7315357539
4662,5.0,3.0,Hill Valley,1978,1081601.434818793
1233,4.0,2.0,Riverside,1966,470553.4879440808
4627,3.0,2.0,Springfield,1956,799501.5453794595
4652,4.0,1.0,Hill Valley,1965,985492.6968722348
3233,3.0,3.0,Springfield,1959,681481.7507826668
1328,4.0,3.0,Hill Valley,2014,590109.6978590118
1285,4.0,3.0,Springfield,1973,467249.81332709553
1852,4.0,3.0,Greenville,2011,718475.11478186
3140,4.0,3.0,Shelbyville,1993,643136.0291124218
1275,1.0,3.0,Riverside,1992,480910.3281209727
2604,4.0,2.0,Hill Valley,1986,749665.1227691269
1108,2.0,1.0,Hill Valley,2011,476653.79941745376
2977,4.0,1.0,Shelbyville,1957,566445.3451561106
693,3.0,1.0,Springfield,1961,408284.57847375737
3719,5.0,2.0,Hill Valley,1984,911341.4706043948
843,2.0,3.0,Shelbyville,1982,326903.6686663869
1457,5.0,2.0,Hill Valley,1992,602220.2947035033
1368,5.0,1.0,Springfield,2005,486215.63245885016
4256,2.0,1.0,Shelbyville,1995,662016.2535716902
834,3.0,3.0,Springfield,1972,421410.34763691213
2488,3.0,3.0,Greenville,1977,755154.162739475
3201,,2.0,Greenville,2006,857782.0671435284
2870,4.0,3.0,Greenville,1968,868713.5234306162
3595,5.0,3.0,Greenville,1989,995270.2671478846
4133,2.0,3.0,Springfield,1992,736673.7402415626
2331,3.0,3.0,Greenville,2006,799225.4852077317
4244,3.0,2.0,Shelbyville,2004,756653.9210509858
1999,5.0,2.0,Greenville,1987,707934.1165312487
4931,2.0,2.0,,1976,1027496.5641686533
2819,3.0,1.0,Shelbyville,1980,562118.9335148892
3838,1.0,2.0,Springfield,1983,704317.507746879
4450,5.0,2.0,Greenville,1970,1072940.9965193404
4087,2.0,2.0,Greenville,1998,1010725.5131792123
4344,2.0,2.0,Greenville,1969,1035638.0890197194
2960,3.0,2.0,Shelbyville,1999,593840.4041966914
791,3.0,2.0,Greenville,2006,463810.4093839719
2769,5.0,1.0,Shelbyville,2021,610187.8956249822
1398,3.0,2.0,Springfield,1963,437266.03642713587
4512,3.0,2.0,Hill Valley,2007,978195.770437974
1641,1.0,3.0,Greenville,1960,534655.6294602745
1603,1.0,2.0,Riverside,1978,513724.6013642931
1697,2.0,2.0,Riverside,1967,444923.3505484493
3427,5.0,1.0,Hill Valley,1966,867162.3158088378
3113,5.0,1.0,,1967,800007.5082673853
4774,4.0,2.0,Hill Valley,1958,1092697.3982063972
2431,4.0,2.0,,2011,588115.9537253837
1842,2.0,2.0,Greenville,1959,636304.5264275569
816,1.0,2.0,Shelbyville,1982,302002.58476286626
631,,3.0,Springfield,2003,344732.4446045843
2243,2.0,1.0,Greenville,2023,719585.0959276016
4673,2.0,1.0,Greenville,2013,1067903.3285102625
2904,1.0,1.0,Shelbyville,1964,553386.6465349521
4531,2.0,1.0,Riverside,2023,903129.0636868055
1047,1.0,3.0,Greenville,2000,510607.7852767514
1010,4.0,1.0,Hill Valley,1967,508579.1916836356
4267,5.0,2.0,Springfield,1985,849341.12475371
1069,4.0,1.0,Shelbyville,2018,457433.34630206233
828,3.0,3.0,Shelbyville,1982,340326.8204806802
2378,3.0,3.0,Hill Valley,1967,650725.5224595424
4669,2.0,1.0,Hill Valley,2015,985519.9467451464
3633,1.0,1.0,Hill Valley,2020,864013.2769964531
1036,3.0,1.0,Hill Valley,2022,506487.6880280814
4283,3.0,2.0,Shelbyville,2020,751447.6997894224
4311,1.0,3.0,Greenville,2015,997071.2885267861
4123,3.0,,Greenville,1986,1034636.0187998718
4571,2.0,3.0,Hill Valley,1968,966758.8566704838
1655,,2.0,Springfield,1997,484268.487471307
4910,4.0,1.0,Shelbyville,1970,886573.152694196
2011,3.0,2.0,Hill Valley,1987,645043.5343971465
4128,4.0,1.0,Hill Valley,2000,980943.2440697323
3149,4.0,3.0,Riverside,2020,783324.2069331332
4029,5.0,1.0,Riverside,1974,840303.6003673956
3362,5.0,2.0,Greenville,1972,901488.4191090934
3426,4.0,2.0,Hill Valley,2005,839613.1427670375
